innings,over,ball,team,batter,bowler,umpire,type,decision
1,9,6,Delhi Capitals,Abdul Samad,L Ngidi,UV Gandhe,wicket,struck down
2,7,1,Lucknow Super Giants,Sameer Rizvi,Mohammed Shami,UV Gandhe,wicket,struck down
