match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2013-04-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,0,29,2,7.25,10,1,0
6,2013-04-07,Kings XI Punjab,Subrata Roy Sahara Stadium,2.0,0,28,0,14.0,3,1,0
13,2013-04-11,Rajasthan Royals,Subrata Roy Sahara Stadium,3.0,0,21,0,7.0,7,0,0
15,2013-04-13,Mumbai Indians,Wankhede Stadium,4.0,0,63,0,15.75,4,1,1
19,2013-04-15,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,34,2,8.5,7,0,0
22,2013-04-17,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,4.0,0,25,1,6.25,11,2,0
29,2013-04-21,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,37,0,9.25,5,1,0
31,2013-04-23,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,48,2,12.0,9,1,1
39,2013-04-28,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,4.0,0,31,3,7.75,14,0,0
42,2013-04-30,Chennai Super Kings,Subrata Roy Sahara Stadium,4.0,0,41,0,10.25,5,0,0
46,2013-05-02,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,4.0,0,52,2,13.0,7,0,0
58,2013-05-11,Mumbai Indians,Subrata Roy Sahara Stadium,4.0,0,35,2,8.75,10,0,0
71,2013-05-19,Delhi Daredevils,Subrata Roy Sahara Stadium,4.0,0,21,2,5.25,13,1,0
