innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Kings XI Punjab,death,59,0,30,11.8,4,1
1,Kings XI Punjab,middle,67,3,54,7.44,8,17
1,Kings XI Punjab,powerplay,53,1,36,8.83,10,20
2,Rajasthan Royals,death,71,3,30,14.2,10,7
2,Rajasthan Royals,middle,48,4,54,5.33,1,20
2,Rajasthan Royals,powerplay,44,1,36,7.33,6,16
