match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
7,2015-04-12,Kings XI Punjab,Wankhede Stadium,64,24,5,6,266.67,c Sandeep Sharma b Anureet Singh,8
12,2015-04-17,Chennai Super Kings,Wankhede Stadium,24,21,2,1,114.29,c RA Jadeja b MM Sharma,5
16,2015-04-19,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,1,0,0,0.0,"run out (MS Bisla, AN Ahmed)",7
21,2015-04-23,Delhi Daredevils,Feroz Shah Kotla,9,10,0,1,90.0,c J Yadav b AD Mathews,8
23,2015-04-25,Sunrisers Hyderabad,Wankhede Stadium,0,4,0,0,0.0,c B Kumar b P Kumar,7
39,2015-05-05,Delhi Daredevils,Wankhede Stadium,5,4,1,0,125.0,b NM Coulter-Nile,5
46,2015-05-10,Royal Challengers Bangalore,Wankhede Stadium,3,3,0,0,100.0,c V Kohli b MA Starc,7
57,2015-05-19,Chennai Super Kings,Wankhede Stadium,6,3,1,0,200.0,not out,7
60,2015-05-24,Chennai Super Kings,Eden Gardens,6,3,0,1,200.0,not out,7
