match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2011-04-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,1,0,0,0.0,not out,8
22,2011-04-20,Kochi Tuskers Kerala,Eden Gardens,10,8,1,0,125.0,"run out (PA Patel, RA Jadeja)",8
45,2011-05-05,Kochi Tuskers Kerala,Nehru Stadium,1,1,0,0,100.0,not out,8
65,2011-05-19,Pune Warriors,Dr DY Patil Sports Academy,1,3,0,0,33.33,not out,5
70,2011-05-22,Mumbai Indians,Eden Gardens,11,6,2,0,183.33,run out (AT Rayudu),7
72,2011-05-25,Mumbai Indians,Wankhede Stadium,2,3,0,0,66.67,"run out (RG Sharma, DS Kulkarni)",8
