innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,Ishan Kishan,28,17,RG Sharma,43,28,74,45
1,Mumbai Indians,2,SA Yadav,13,11,Ishan Kishan,12,7,25,18
1,Mumbai Indians,3,Tilak Varma,7,4,Ishan Kishan,5,5,12,9
1,Mumbai Indians,4,Tilak Varma,2,3,KA Pollard,4,14,8,17
1,Mumbai Indians,5,TH David,25,13,Tilak Varma,12,9,38,21
1,Mumbai Indians,6,TH David,7,2,DR Sams,0,2,7,4
1,Mumbai Indians,7,TH David,12,6,M Ashwin,0,0,13,6
2,Gujarat Titans,1,WP Saha,52,37,Shubman Gill,52,36,106,73
2,Gujarat Titans,2,HH Pandya,2,2,WP Saha,3,3,5,5
2,Gujarat Titans,3,HH Pandya,12,7,B Sai Sudharsan,14,11,27,18
2,Gujarat Titans,4,HH Pandya,10,5,DA Miller,7,5,18,10
2,Gujarat Titans,5,R Tewatia,3,4,DA Miller,12,7,15,11
2,Gujarat Titans,6,Rashid Khan,1,1,DA Miller,0,2,1,3
