match_number,date,opponent,venue,result,margin
5,2025-03-25,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 11 runs
13,2025-04-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 8 wickets
18,2025-04-05,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 50 runs
22,2025-04-08,Chennai Super Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 18 runs
27,2025-04-12,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 8 wickets
31,2025-04-15,Kolkata Knight Riders,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 16 runs
34,2025-04-18,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",won,by 5 wickets
37,2025-04-20,Royal Challengers Bengaluru,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 7 wickets
44,2025-04-26,Kolkata Knight Riders,"Eden Gardens, Kolkata",no result,
49,2025-04-30,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 4 wickets
54,2025-05-04,Lucknow Super Giants,"Himachal Pradesh Cricket Association Stadium, Dharamsala",won,by 37 runs
58,2025-05-08,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",no result,
59,2025-05-18,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 10 runs
66,2025-05-24,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",lost,by 6 wickets
69,2025-05-26,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",won,by 7 wickets
71,2025-05-29,Royal Challengers Bengaluru,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 8 wickets
73,2025-06-01,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",won,by 5 wickets
74,2025-06-03,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",lost,by 6 runs
