match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2019-03-23,Royal Challengers Bangalore,MA Chidambaram Stadium,19,21,3,0,90.48,c S Dube b MM Ali,3
5,2019-03-26,Delhi Capitals,Arun Jaitley Stadium,30,16,4,1,187.5,c RR Pant b A Mishra,3
12,2019-03-31,Rajasthan Royals,MA Chidambaram Stadium,36,32,4,1,112.5,b JD Unadkat,3
15,2019-04-03,Mumbai Indians,Wankhede Stadium,16,15,2,1,106.67,c KA Pollard b JP Behrendorff,3
18,2019-04-06,Kings XI Punjab,MA Chidambaram Stadium,17,20,1,0,85.0,b R Ashwin,3
23,2019-04-09,Kolkata Knight Riders,MA Chidambaram Stadium,14,13,1,1,107.69,c PP Chawla b SP Narine,3
25,2019-04-11,Rajasthan Royals,Sawai Mansingh Stadium,4,4,1,0,100.0,run out (),3
29,2019-04-14,Kolkata Knight Riders,Eden Gardens,58,42,7,1,138.1,not out,3
33,2019-04-17,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,13,13,2,0,100.0,lbw b Rashid Khan,3
39,2019-04-21,Royal Challengers Bangalore,M.Chinnaswamy Stadium,0,1,0,0,0.0,b DW Steyn,3
41,2019-04-23,Sunrisers Hyderabad,MA Chidambaram Stadium,38,24,6,1,158.33,st JM Bairstow b Rashid Khan,3
44,2019-04-26,Mumbai Indians,MA Chidambaram Stadium,2,4,0,0,50.0,c SA Yadav b HH Pandya,3
50,2019-05-01,Delhi Capitals,MA Chidambaram Stadium,59,37,8,1,159.46,c S Dhawan b J Suchith,3
55,2019-05-05,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,53,38,5,2,139.47,c Mohammed Shami b SM Curran,3
57,2019-05-07,Mumbai Indians,MA Chidambaram Stadium,5,7,1,0,71.43,c & b J Yadav,3
59,2019-05-10,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,13,0,0,84.62,b AR Patel,3
60,2019-05-12,Mumbai Indians,Rajiv Gandhi International Stadium,8,14,0,0,57.14,lbw b RD Chahar,3
