match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2018-04-09,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,49,42,5,0,116.67,c Rashid Khan b Shakib Al Hasan,3
6,2018-04-11,Delhi Daredevils,Sawai Mansingh Stadium,37,22,2,2,168.18,b S Nadeem,4
11,2018-04-15,Royal Challengers Bangalore,M.Chinnaswamy Stadium,92,45,2,10,204.44,not out,3
15,2018-04-18,Kolkata Knight Riders,Sawai Mansingh Stadium,7,8,1,0,87.5,c Kuldeep Yadav b Shivam Mavi,3
17,2018-04-20,Chennai Super Kings,Maharashtra Cricket Association Stadium,2,3,0,0,66.67,c KV Sharma b DL Chahar,3
21,2018-04-22,Mumbai Indians,Sawai Mansingh Stadium,52,39,4,0,133.33,c HH Pandya b JJ Bumrah,3
28,2018-04-29,Sunrisers Hyderabad,Sawai Mansingh Stadium,40,30,3,1,133.33,c AD Hales b S Kaul,3
32,2018-05-02,Delhi Daredevils,Arun Jaitley Stadium,3,5,0,0,60.0,c C Munro b TA Boult,3
38,2018-05-06,Kings XI Punjab,Holkar Cricket Stadium,28,23,2,1,121.74,c KK Nair b AJ Tye,4
40,2018-05-08,Kings XI Punjab,Sawai Mansingh Stadium,22,18,1,1,122.22,c MK Tiwary b Mujeeb Ur Rahman,4
43,2018-05-11,Chennai Super Kings,Sawai Mansingh Stadium,21,22,2,0,95.45,run out (),4
47,2018-05-13,Mumbai Indians,Wankhede Stadium,26,14,2,2,185.71,c RD Chahar b HH Pandya,4
49,2018-05-15,Kolkata Knight Riders,Eden Gardens,12,10,2,0,120.0,lbw b SP Narine,4
53,2018-05-19,Royal Challengers Bangalore,Sawai Mansingh Stadium,0,1,0,0,0.0,c MM Ali b UT Yadav,4
58,2018-05-23,Kolkata Knight Riders,Eden Gardens,50,38,4,2,131.58,c JPR Scantlebury-Searles b PP Chawla,3
