match_number,date,opponent,venue,result,margin
1,2016-04-09,Rising Pune Supergiants,Wankhede Stadium,lost,by 9 wickets
5,2016-04-13,Kolkata Knight Riders,Eden Gardens,won,by 6 wickets
9,2016-04-16,Gujarat Lions,Wankhede Stadium,lost,by 3 wickets
12,2016-04-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
14,2016-04-20,Royal Challengers Bangalore,Wankhede Stadium,won,by 6 wickets
17,2016-04-23,Delhi Daredevils,Feroz Shah Kotla,lost,by 10 runs
21,2016-04-25,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 25 runs
24,2016-04-28,Kolkata Knight Riders,Wankhede Stadium,won,by 6 wickets
29,2016-05-01,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,won,by 8 wickets
37,2016-05-08,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 85 runs
41,2016-05-11,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 6 wickets
43,2016-05-13,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 7 wickets
47,2016-05-15,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 80 runs
54,2016-05-21,Gujarat Lions,Green Park,lost,by 6 wickets
