match_number,date,opponent,venue,result,margin
2,2008-04-19,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 33 runs
8,2008-04-23,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",won,by 6 runs
11,2008-04-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",won,by 9 wickets
15,2008-04-28,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 13 runs
20,2008-05-02,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",lost,by 8 wickets
24,2008-05-04,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 8 wickets
26,2008-05-06,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",lost,by 7 wickets
28,2008-05-08,Delhi Daredevils,Feroz Shah Kotla,won,by 4 wickets
31,2008-05-10,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",won,by 18 runs
36,2008-05-14,Mumbai Indians,Wankhede Stadium,lost,by 9 wickets
41,2008-05-18,Kolkata Knight Riders,Eden Gardens,won,by 3 runs
46,2008-05-21,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",lost,by 14 runs
49,2008-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",lost,by 10 runs
54,2008-05-27,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
58,2008-05-31,Kings XI Punjab,Wankhede Stadium,won,by 9 wickets
59,2008-06-01,Rajasthan Royals,Dr DY Patil Sports Academy,lost,by 3 wickets
