match_number,date,opponent,venue,result,margin
4,2021-04-12,Punjab Kings,"Wankhede Stadium, Mumbai",lost,by 4 runs
7,2021-04-15,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 3 wickets
12,2021-04-19,Chennai Super Kings,"Wankhede Stadium, Mumbai",lost,by 45 runs
16,2021-04-22,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",lost,by 10 wickets
18,2021-04-24,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",won,by 6 wickets
24,2021-04-29,Mumbai Indians,"Arun Jaitley Stadium, Delhi",lost,by 7 wickets
28,2021-05-02,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",won,by 55 runs
32,2021-09-21,Punjab Kings,Dubai International Cricket Stadium,won,by 2 runs
36,2021-09-25,Delhi Capitals,"Zayed Cricket Stadium, Abu Dhabi",lost,by 33 runs
40,2021-09-27,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 7 wickets
43,2021-09-29,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 7 wickets
47,2021-10-02,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",won,by 7 wickets
51,2021-10-05,Mumbai Indians,Sharjah Cricket Stadium,lost,by 8 wickets
54,2021-10-07,Kolkata Knight Riders,Sharjah Cricket Stadium,lost,by 86 runs
