team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Kolkata Knight Riders,1,SA Yadav,JP Faulkner,Shakib Al Hasan,0,1,1,legbyes,True,run out,SA Yadav
Kolkata Knight Riders,2,MK Pandey,JP Faulkner,Shakib Al Hasan,1,0,1,,False,,
Kolkata Knight Riders,3,Shakib Al Hasan,JP Faulkner,MK Pandey,1,0,1,,False,,
Kolkata Knight Riders,4,MK Pandey,JP Faulkner,Shakib Al Hasan,6,0,6,,False,,
Kolkata Knight Riders,5,MK Pandey,JP Faulkner,Shakib Al Hasan,1,0,1,,False,,
Kolkata Knight Riders,6,Shakib Al Hasan,JP Faulkner,MK Pandey,1,0,1,,True,run out,Shakib Al Hasan
Rajasthan Royals,1,SR Watson,SP Narine,SPD Smith,1,0,1,,False,,
Rajasthan Royals,2,SPD Smith,SP Narine,SR Watson,2,0,2,,False,,
Rajasthan Royals,3,SPD Smith,SP Narine,SR Watson,1,0,1,,False,,
Rajasthan Royals,4,SR Watson,SP Narine,SPD Smith,4,0,4,,False,,
Rajasthan Royals,5,SR Watson,SP Narine,SPD Smith,1,0,1,,False,,
Rajasthan Royals,6,SPD Smith,SP Narine,SR Watson,2,0,2,,False,,
