match_number,date,opponent,catches,stumpings,run_outs
2,2021-04-10,Chennai Super Kings,3,0,0
7,2021-04-15,Rajasthan Royals,3,0,0
11,2021-04-18,Punjab Kings,1,0,0
20,2021-04-25,Sunrisers Hyderabad,1,0,0
33,2021-09-22,Sunrisers Hyderabad,1,0,0
