match_number,date,opponent,venue,result,margin
3,2019-03-24,Delhi Capitals,Wankhede Stadium,lost,by 37 runs
7,2019-03-28,Royal Challengers Bangalore,M.Chinnaswamy Stadium,won,by 6 runs
9,2019-03-30,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 8 wickets
15,2019-04-03,Chennai Super Kings,Wankhede Stadium,won,by 37 runs
19,2019-04-06,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,won,by 40 runs
24,2019-04-10,Kings XI Punjab,Wankhede Stadium,won,by 3 wickets
27,2019-04-13,Rajasthan Royals,Wankhede Stadium,lost,by 4 wickets
31,2019-04-15,Royal Challengers Bangalore,Wankhede Stadium,won,by 5 wickets
34,2019-04-18,Delhi Capitals,Arun Jaitley Stadium,won,by 40 runs
36,2019-04-20,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 5 wickets
44,2019-04-26,Chennai Super Kings,MA Chidambaram Stadium,won,by 46 runs
47,2019-04-28,Kolkata Knight Riders,Eden Gardens,lost,by 34 runs
51,2019-05-02,Sunrisers Hyderabad,Wankhede Stadium,no result,
56,2019-05-05,Kolkata Knight Riders,Wankhede Stadium,won,by 9 wickets
57,2019-05-07,Chennai Super Kings,MA Chidambaram Stadium,won,by 6 wickets
60,2019-05-12,Chennai Super Kings,Rajiv Gandhi International Stadium,won,by 1 runs
