match_number,date,opponent,venue,result,margin
1,2020-09-19,Mumbai Indians,Sheikh Zayed Stadium,won,by 5 wickets
4,2020-09-22,Rajasthan Royals,Sharjah Cricket Stadium,lost,by 16 runs
7,2020-09-25,Delhi Capitals,Dubai International Cricket Stadium,lost,by 44 runs
14,2020-10-02,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 7 runs
18,2020-10-04,Kings XI Punjab,Dubai International Cricket Stadium,won,by 10 wickets
21,2020-10-07,Kolkata Knight Riders,Sheikh Zayed Stadium,lost,by 10 runs
25,2020-10-10,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 37 runs
29,2020-10-13,Sunrisers Hyderabad,Dubai International Cricket Stadium,won,by 20 runs
34,2020-10-17,Delhi Capitals,Sharjah Cricket Stadium,lost,by 5 wickets
37,2020-10-19,Rajasthan Royals,Sheikh Zayed Stadium,lost,by 7 wickets
41,2020-10-23,Mumbai Indians,Sharjah Cricket Stadium,lost,by 10 wickets
44,2020-10-25,Royal Challengers Bangalore,Dubai International Cricket Stadium,won,by 8 wickets
49,2020-10-29,Kolkata Knight Riders,Dubai International Cricket Stadium,won,by 6 wickets
53,2020-11-01,Kings XI Punjab,Sheikh Zayed Stadium,won,by 9 wickets
