match_number,date,opponent,venue,result,margin
4,2021-04-12,Rajasthan Royals,"Wankhede Stadium, Mumbai",won,by 4 runs
8,2021-04-16,Chennai Super Kings,"Wankhede Stadium, Mumbai",lost,by 6 wickets
11,2021-04-18,Delhi Capitals,"Wankhede Stadium, Mumbai",lost,by 6 wickets
14,2021-04-21,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 9 wickets
17,2021-04-23,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 9 wickets
21,2021-04-26,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",lost,by 5 wickets
26,2021-04-30,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",won,by 34 runs
29,2021-05-02,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",lost,by 7 wickets
32,2021-09-21,Rajasthan Royals,Dubai International Cricket Stadium,lost,by 2 runs
37,2021-09-25,Sunrisers Hyderabad,Sharjah Cricket Stadium,won,by 5 runs
42,2021-09-28,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",lost,by 6 wickets
45,2021-10-01,Kolkata Knight Riders,Dubai International Cricket Stadium,won,by 5 wickets
48,2021-10-03,Royal Challengers Bangalore,Sharjah Cricket Stadium,lost,by 6 runs
53,2021-10-07,Chennai Super Kings,Dubai International Cricket Stadium,won,by 6 wickets
