match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
37,Sunrisers Hyderabad,CH Gayle,14,17,1,0,82.35,lbw b Rashid Khan
37,Sunrisers Hyderabad,AK Markram,27,32,2,0,84.38,c MK Pandey b Abdul Samad
37,Sunrisers Hyderabad,N Pooran,8,4,0,1,200.0,c & b Sandeep Sharma
37,Sunrisers Hyderabad,DJ Hooda,13,10,1,0,130.0,c J Suchith b JO Holder
37,Sunrisers Hyderabad,Harpreet Brar,18,18,1,0,100.0,not out
37,Sunrisers Hyderabad,NT Ellis,12,12,0,1,100.0,c MK Pandey b B Kumar
42,Mumbai Indians,KL Rahul,21,22,2,0,95.45,c JJ Bumrah b KA Pollard
42,Mumbai Indians,Mandeep Singh,15,14,2,0,107.14,lbw b KH Pandya
42,Mumbai Indians,CH Gayle,1,4,0,0,25.0,c HH Pandya b KA Pollard
42,Mumbai Indians,AK Markram,42,29,6,0,144.83,b RD Chahar
42,Mumbai Indians,N Pooran,2,3,0,0,66.67,lbw b JJ Bumrah
42,Mumbai Indians,DJ Hooda,28,26,1,1,107.69,c KA Pollard b JJ Bumrah
42,Mumbai Indians,Harpreet Brar,14,19,0,0,73.68,not out
42,Mumbai Indians,NT Ellis,6,4,0,0,150.0,not out
45,Kolkata Knight Riders,KL Rahul,67,55,4,2,121.82,c Shivam Mavi b VR Iyer
45,Kolkata Knight Riders,MA Agarwal,40,27,3,3,148.15,c EJG Morgan b CV Varun
45,Kolkata Knight Riders,N Pooran,12,7,0,1,171.43,c Shivam Mavi b CV Varun
45,Kolkata Knight Riders,AK Markram,18,16,0,1,112.5,c Shubman Gill b SP Narine
45,Kolkata Knight Riders,DJ Hooda,3,4,0,0,75.0,c RA Tripathi b Shivam Mavi
45,Kolkata Knight Riders,M Shahrukh Khan,22,9,1,2,244.44,not out
48,Royal Challengers Bangalore,KL Rahul,39,35,1,2,111.43,c HV Patel b Shahbaz Ahmed
48,Royal Challengers Bangalore,MA Agarwal,57,42,6,2,135.71,c Mohammed Siraj b YS Chahal
48,Royal Challengers Bangalore,N Pooran,3,7,0,0,42.86,c D Padikkal b YS Chahal
48,Royal Challengers Bangalore,AK Markram,20,14,2,1,142.86,c DT Christian b GHS Garton
48,Royal Challengers Bangalore,SN Khan,0,1,0,0,0.0,b YS Chahal
48,Royal Challengers Bangalore,M Shahrukh Khan,16,11,1,1,145.45,run out (HV Patel)
48,Royal Challengers Bangalore,MC Henriques,12,9,0,1,133.33,not out
48,Royal Challengers Bangalore,Harpreet Brar,3,2,0,0,150.0,not out
53,Chennai Super Kings,KL Rahul,98,42,7,8,233.33,not out
53,Chennai Super Kings,MA Agarwal,12,12,2,0,100.0,lbw b SN Thakur
53,Chennai Super Kings,SN Khan,0,3,0,0,0.0,c F du Plessis b SN Thakur
53,Chennai Super Kings,M Shahrukh Khan,8,10,0,1,80.0,c DJ Bravo b DL Chahar
53,Chennai Super Kings,AK Markram,13,8,0,1,162.5,c MS Dhoni b SN Thakur
53,Chennai Super Kings,MC Henriques,3,3,0,0,100.0,not out
