innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,17,6,Royal Challengers Bengaluru,M Jansen,B Kumar,KM Gandhi,wicket,struck down,False
2,2,6,Punjab Kings,V Kohli,XC Bartlett,MV Saidharshan Kumar,wicket,struck down,False
