innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,16,3,Rajasthan Royals,KD Karthik,A Zampa,Navdeep Singh,wicket,upheld,False
2,3,2,Rajasthan Royals,JE Root,Mohammed Siraj,Navdeep Singh,wicket,upheld,False
2,6,3,Rajasthan Royals,JE Root,WD Parnell,KN Ananthapadmanabhan,wicket,struck down,False
