match_number,date,opponent,venue,result,margin
5,2015-04-11,Kolkata Knight Riders,Eden Gardens,won,by 3 wickets
8,2015-04-13,Sunrisers Hyderabad,M Chinnaswamy Stadium,lost,by 8 wickets
16,2015-04-19,Mumbai Indians,M Chinnaswamy Stadium,lost,by 18 runs
20,2015-04-22,Chennai Super Kings,M Chinnaswamy Stadium,lost,by 27 runs
22,2015-04-24,Rajasthan Royals,"Sardar Patel Stadium, Motera",won,by 9 wickets
26,2015-04-26,Delhi Daredevils,Feroz Shah Kotla,won,by 10 wickets
29,2015-04-29,Rajasthan Royals,M Chinnaswamy Stadium,no result,
33,2015-05-02,Kolkata Knight Riders,M Chinnaswamy Stadium,won,by 7 wickets
37,2015-05-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 24 runs
40,2015-05-06,Kings XI Punjab,M Chinnaswamy Stadium,won,by 138 runs
46,2015-05-10,Mumbai Indians,Wankhede Stadium,won,by 39 runs
50,2015-05-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 22 runs
52,2015-05-15,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 6 wickets
55,2015-05-17,Delhi Daredevils,M Chinnaswamy Stadium,no result,
58,2015-05-20,Rajasthan Royals,Maharashtra Cricket Association Stadium,won,by 71 runs
59,2015-05-22,Chennai Super Kings,JSCA International Stadium Complex,lost,by 3 wickets
