match_number,date,opponent,venue,result,margin
4,2012-04-06,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 31 runs
8,2012-04-08,Pune Warriors,Subrata Roy Sahara Stadium,lost,by 22 runs
14,2012-04-12,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",won,by 7 wickets
17,2012-04-15,Kolkata Knight Riders,Eden Gardens,won,by 2 runs
22,2012-04-18,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",lost,by 8 wickets
25,2012-04-20,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",lost,by 5 wickets
28,2012-04-22,Mumbai Indians,Wankhede Stadium,won,by 6 wickets
33,2012-04-25,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",lost,by 4 wickets
37,2012-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 7 runs
44,2012-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 4 wickets
48,2012-05-05,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",lost,by 43 runs
53,2012-05-08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 25 runs
61,2012-05-13,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",won,by 4 wickets
64,2012-05-15,Delhi Daredevils,Feroz Shah Kotla,lost,by 5 wickets
66,2012-05-17,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,won,by 6 wickets
69,2012-05-19,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,lost,by 6 wickets
