match_number,date,opponent,catches,stumpings,run_outs
5,2018-04-10,Chennai Super Kings,1,0,0
10,2018-04-14,Sunrisers Hyderabad,1,0,0
13,2018-04-16,Delhi Daredevils,0,1,0
15,2018-04-18,Rajasthan Royals,0,1,0
26,2018-04-27,Delhi Daredevils,1,0,0
29,2018-04-29,Royal Challengers Bangalore,1,0,0
33,2018-05-03,Chennai Super Kings,1,0,0
37,2018-05-06,Mumbai Indians,1,0,0
44,2018-05-12,Kings XI Punjab,2,0,0
49,2018-05-15,Rajasthan Royals,3,1,0
54,2018-05-19,Sunrisers Hyderabad,2,0,0
59,2018-05-25,Sunrisers Hyderabad,1,1,0
