match_number,date,opponent,venue,result,margin
4,2017-04-08,Rising Pune Supergiant,Holkar Cricket Stadium,won,by 6 wickets
8,2017-04-10,Royal Challengers Bangalore,Holkar Cricket Stadium,won,by 8 wickets
11,2017-04-13,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
15,2017-04-15,Delhi Daredevils,Feroz Shah Kotla,lost,by 51 runs
19,2017-04-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 runs
22,2017-04-20,Mumbai Indians,Holkar Cricket Stadium,lost,by 8 wickets
26,2017-04-23,Gujarat Lions,Saurashtra Cricket Association Stadium,won,by 26 runs
33,2017-04-28,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 26 runs
36,2017-04-30,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 10 wickets
43,2017-05-05,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 19 runs
47,2017-05-07,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 6 wickets
49,2017-05-09,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 14 runs
51,2017-05-11,Mumbai Indians,Wankhede Stadium,won,by 7 runs
55,2017-05-14,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,lost,by 9 wickets
