innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Kolkata Knight Riders,death,51,2,30,10.2,6,5
1,Kolkata Knight Riders,middle,96,1,54,10.67,11,14
1,Kolkata Knight Riders,powerplay,53,0,36,8.83,9,17
2,Kings XI Punjab,death,70,1,39,10.77,10,8
2,Kings XI Punjab,middle,73,0,38,11.53,9,5
2,Kings XI Punjab,powerplay,61,1,33,11.09,10,5
