match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
12,2015-04-17,Chennai Super Kings,Wankhede Stadium,5,13,1,0,38.46,c F du Plessis b IC Pandey,1
16,2015-04-19,Royal Challengers Bangalore,M Chinnaswamy Stadium,59,44,9,2,134.09,c VR Aaron b YS Chahal,1
21,2015-04-23,Delhi Daredevils,Feroz Shah Kotla,15,14,3,0,107.14,c JP Duminy b DJ Muthuswami,1
23,2015-04-25,Sunrisers Hyderabad,Wankhede Stadium,51,42,6,1,121.43,b DW Steyn,1
32,2015-05-01,Rajasthan Royals,Wankhede Stadium,38,31,4,1,122.58,lbw b Ankit Sharma,1
35,2015-05-03,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",71,56,9,1,126.79,c AR Patel b Anureet Singh,1
39,2015-05-05,Delhi Daredevils,Wankhede Stadium,0,1,0,0,0.0,lbw b Z Khan,1
43,2015-05-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",38,31,3,2,122.58,c DR Smith b R Ashwin,1
46,2015-05-10,Royal Challengers Bangalore,Wankhede Stadium,68,53,5,3,128.3,not out,2
51,2015-05-14,Kolkata Knight Riders,Wankhede Stadium,14,16,1,1,87.5,c MK Pandey b M Morkel,1
56,2015-05-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",48,44,4,2,109.09,c S Dhawan b KV Sharma,1
57,2015-05-19,Chennai Super Kings,Wankhede Stadium,65,51,3,5,127.45,c P Negi b RA Jadeja,1
60,2015-05-24,Chennai Super Kings,Eden Gardens,68,45,8,3,151.11,b DR Smith,1
