match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
8,2024-03-27,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",62,24,9,3,258.33,c Naman Dhir b G Coetzee,2
12,2024-03-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",19,14,3,0,135.71,b Noor Ahmad,2
18,2024-04-05,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",31,24,3,1,129.17,c R Ravindra b M Theekshana,1
23,2024-04-09,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",21,15,4,0,140.0,c S Dhawan b Arshdeep Singh,1
30,2024-04-15,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",102,41,9,8,248.78,c F du Plessis b LH Ferguson,2
35,2024-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",89,32,11,6,278.12,c T Stubbs b Kuldeep Yadav,1
41,2024-04-25,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3,0,0,33.33,c KV Sharma b WG Jacks,2
46,2024-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",13,7,1,1,185.71,c DJ Mitchell b TU Deshpande,1
50,2024-05-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",58,44,6,3,131.82,b Avesh Khan,1
55,2024-05-06,Mumbai Indians,"Wankhede Stadium, Mumbai",48,30,7,1,160.0,c Tilak Varma b PP Chawla,1
57,2024-05-08,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",89,30,8,8,296.67,not out,2
69,2024-05-19,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,1,0,0,0.0,b Arshdeep Singh,1
70,2024-05-21,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",0,2,0,0,0.0,b MA Starc,1
72,2024-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",34,28,3,1,121.43,c R Ashwin b Sandeep Sharma,1
73,2024-05-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",0,1,0,0,0.0,c Rahmanullah Gurbaz b VG Arora,2
