innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,TM Head,9,1.6
1,Sunrisers Hyderabad,2,Abhishek Sharma,38,5.4
1,Sunrisers Hyderabad,3,Ishan Kishan,50,8.2
1,Sunrisers Hyderabad,4,H Klaasen,100,14.5
1,Sunrisers Hyderabad,5,Nithish Kumar Reddy,105,16.1
1,Sunrisers Hyderabad,6,PHKD Mendis,120,17.6
1,Sunrisers Hyderabad,7,Aniket Verma,135,19.4
1,Sunrisers Hyderabad,8,Simarjeet Singh,135,19.6
2,Gujarat Titans,1,B Sai Sudharsan,15,3.5
2,Gujarat Titans,2,JC Buttler,16,4.5
2,Gujarat Titans,3,Washington Sundar,106,14.1
