innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,40,16,V Suryavanshi,39,14,1,80,30
1,Rajasthan Royals,2,YBK Jaiswal,1,1,Dhruv Jurel,2,3,1,4,4
1,Rajasthan Royals,3,R Parag,20,10,YBK Jaiswal,17,9,0,37,19
1,Rajasthan Royals,4,SO Hetmyer,6,7,YBK Jaiswal,19,6,4,29,13
2,Mumbai Indians,1,RD Rickelton,8,4,RG Sharma,2,2,0,10,6
2,Mumbai Indians,2,RG Sharma,3,1,SA Yadav,6,3,1,10,4
2,Mumbai Indians,3,Tilak Varma,2,2,RG Sharma,0,3,0,2,5
2,Mumbai Indians,4,HH Pandya,9,6,Tilak Varma,8,6,2,19,12
2,Mumbai Indians,5,Naman Dhir,1,1,Tilak Varma,4,2,0,5,3
2,Mumbai Indians,6,Naman Dhir,20,9,SE Rutherford,25,8,2,47,17
2,Mumbai Indians,7,SN Thakur,6,3,Naman Dhir,4,3,0,10,6
2,Mumbai Indians,8,DL Chahar,0,1,SN Thakur,2,4,6,8,5
2,Mumbai Indians,9,TA Boult,1,2,DL Chahar,4,1,0,5,3
2,Mumbai Indians,10,DL Chahar,2,3,JJ Bumrah,5,2,0,7,5
