innings,over,ball,team,batter,bowler,umpire,type,decision
1,6,4,Rajasthan Royals,Dhruv Jurel,AM Ghazanfar,M Krishnadas,wicket,struck down
2,3,3,Mumbai Indians,RG Sharma,Sandeep Sharma,M Krishnadas,wicket,struck down
