innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Gujarat Titans,1,B Sai Sudharsan,51,37,Shubman Gill,64,37,10,125,74
1,Gujarat Titans,2,JC Buttler,43,21,B Sai Sudharsan,33,16,6,82,36
1,Gujarat Titans,3,R Tewatia,0,1,JC Buttler,0,0,0,0,1
1,Gujarat Titans,4,JC Buttler,14,6,Washington Sundar,7,3,1,22,9
1,Gujarat Titans,5,JC Buttler,14,6,Washington Sundar,7,3,1,22,9
2,Chennai Super Kings,1,SV Samson,0,1,MW Short,0,0,0,0,1
2,Chennai Super Kings,2,RD Gaikwad,16,7,MW Short,12,6,1,29,13
2,Chennai Super Kings,3,Urvil Patel,0,2,MW Short,0,0,0,0,2
2,Chennai Super Kings,4,Kartik Sharma,10,7,MW Short,12,8,0,22,15
2,Chennai Super Kings,5,D Brevis,3,3,Kartik Sharma,9,8,0,12,11
2,Chennai Super Kings,6,S Dube,47,17,D Brevis,4,4,2,53,21
2,Chennai Super Kings,7,A Kamboj,19,8,D Brevis,1,2,0,20,10
2,Chennai Super Kings,8,Noor Ahmad,1,2,D Brevis,0,1,1,2,3
2,Chennai Super Kings,9,Mukesh Choudhary,2,2,Noor Ahmad,0,3,0,2,5
2,Chennai Super Kings,10,SH Johnson,0,1,Mukesh Choudhary,0,0,0,0,1
