innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Mumbai Indians,1,WG Jacks,1,5,RD Rickelton,0,3,0,1,8
1,Mumbai Indians,2,Naman Dhir,20,11,RD Rickelton,37,21,1,58,32
1,Mumbai Indians,3,SA Yadav,21,12,Naman Dhir,19,12,0,40,24
1,Mumbai Indians,4,Tilak Varma,5,8,Naman Dhir,5,5,0,10,13
1,Mumbai Indians,5,HH Pandya,10,15,Naman Dhir,13,9,2,25,24
1,Mumbai Indians,6,R Minz,5,3,HH Pandya,0,0,0,5,3
1,Mumbai Indians,7,Krish Bhagat,3,5,HH Pandya,8,8,1,12,13
1,Mumbai Indians,8,TA Boult,7,2,Krish Bhagat,0,1,1,8,3
2,Chennai Super Kings,1,SV Samson,11,9,RD Gaikwad,2,3,0,13,12
2,Chennai Super Kings,2,RD Gaikwad,24,10,Urvil Patel,24,12,1,49,22
2,Chennai Super Kings,3,Kartik Sharma,54,40,RD Gaikwad,41,35,3,98,75
