match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2011-04-08,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",1.0,0,3,1,3.0,3,0,0
9,2011-04-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",1.0,0,12,0,12.0,2,0,0
14,2011-04-16,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",1.0,0,10,0,10.0,0,1,0
25,2011-04-22,Mumbai Indians,Wankhede Stadium,2.0,0,22,0,11.0,1,0,0
29,2011-04-25,Pune Warriors,"MA Chidambaram Stadium, Chepauk",2.0,0,11,0,5.5,4,0,0
31,2011-04-27,Pune Warriors,Dr DY Patil Sports Academy,3.0,0,16,0,5.33,8,0,0
52,2011-05-09,Rajasthan Royals,Sawai Mansingh Stadium,0.3,1,0,2,0.0,3,0,0
56,2011-05-12,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",4.0,0,16,0,4.0,11,1,0
64,2011-05-18,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",4.0,0,26,0,6.5,8,2,0
69,2011-05-22,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,38,0,9.5,10,4,0
71,2011-05-24,Royal Challengers Bangalore,Wankhede Stadium,1.0,0,8,0,8.0,2,0,0
74,2011-05-28,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",4.0,0,39,1,9.75,10,0,0
