innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,NV Ojha,35,4.4
1,Rajasthan Royals,2,MJ Lumb,60,8.2
1,Rajasthan Royals,3,YK Pathan,111,13.6
1,Rajasthan Royals,4,FY Fazal,171,20.1
1,Rajasthan Royals,5,P Dogra,179,20.5
2,Kings XI Punjab,1,KC Sangakkara,41,4.6
2,Kings XI Punjab,2,MS Bisla,85,8.5
2,Kings XI Punjab,3,Yuvraj Singh,107,11.6
2,Kings XI Punjab,4,RS Bopara,113,13.3
2,Kings XI Punjab,5,IK Pathan,115,13.6
2,Kings XI Punjab,6,M Kaif,126,15.5
2,Kings XI Punjab,7,PP Chawla,136,17.3
2,Kings XI Punjab,8,J Theron,140,18.4
2,Kings XI Punjab,9,DPMD Jayawardene,152,19.5
2,Kings XI Punjab,10,SJ Srivastava,152,20.1
