match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2024-03-23,Sunrisers Hyderabad,"Eden Gardens, Kolkata",7,5,1,0,140.0,c M Jansen b T Natarajan,3
10,2024-03-29,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",50,30,3,4,166.67,c V Kohli b Yash Dayal,3
16,2024-04-03,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",5,2,1,0,250.0,not out,7
22,2024-04-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",3,8,0,0,37.5,c DJ Mitchell b RA Jadeja,5
31,2024-04-16,Rajasthan Royals,"Eden Gardens, Kolkata",8,6,1,0,133.33,c Dhruv Jurel b KR Sen,7
36,2024-04-21,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",16,8,3,0,200.0,c MK Lomror b C Green,4
42,2024-04-26,Punjab Kings,"Eden Gardens, Kolkata",39,23,3,2,169.57,run out (JM Sharma),3
47,2024-04-29,Delhi Capitals,"Eden Gardens, Kolkata",26,23,2,1,113.04,not out,5
51,2024-05-03,Mumbai Indians,"Wankhede Stadium, Mumbai",70,52,6,3,134.62,b JJ Bumrah,5
54,2024-05-05,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1,0,0,100.0,not out,8
60,2024-05-11,Mumbai Indians,"Eden Gardens, Kolkata",42,21,6,2,200.0,c SA Yadav b PP Chawla,3
70,2024-05-21,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",51,28,5,4,182.14,not out,3
73,2024-05-26,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",52,26,4,3,200.0,not out,3
