innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,SS Tiwary,9,9,LMP Simmons,0,5,12,14
1,Mumbai Indians,2,RG Sharma,27,21,SS Tiwary,19,15,57,36
1,Mumbai Indians,3,AT Rayudu,36,27,SS Tiwary,24,19,61,46
1,Mumbai Indians,4,AT Rayudu,27,10,KA Pollard,11,7,38,17
1,Mumbai Indians,5,HH Pandya,0,1,KA Pollard,2,4,2,5
1,Mumbai Indians,6,HH Pandya,1,1,KH Pandya,0,1,3,2
2,Kolkata Knight Riders,1,SP Narine,0,4,CA Lynn,0,0,0,4
2,Kolkata Knight Riders,2,CA Lynn,16,7,G Gambhir,21,16,41,23
2,Kolkata Knight Riders,3,CA Lynn,10,5,RV Uthappa,2,4,12,9
2,Kolkata Knight Riders,4,CA Lynn,0,2,MK Pandey,0,0,0,2
2,Kolkata Knight Riders,5,YK Pathan,20,7,MK Pandey,11,9,34,16
2,Kolkata Knight Riders,6,C de Grandhomme,29,16,MK Pandey,12,15,41,31
2,Kolkata Knight Riders,7,Kuldeep Yadav,10,10,MK Pandey,10,9,21,18
2,Kolkata Knight Riders,8,Kuldeep Yadav,6,5,UT Yadav,3,3,9,8
2,Kolkata Knight Riders,9,TA Boult,5,8,UT Yadav,1,1,6,9
