match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2018-04-07,Chennai Super Kings,Wankhede Stadium,0,2,0,0,0.0,lbw b DL Chahar,2
7,2018-04-12,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,29,17,3,2,170.59,b S Kaul,2
9,2018-04-14,Delhi Daredevils,Wankhede Stadium,48,28,4,4,171.43,c JJ Roy b R Tewatia,2
14,2018-04-17,Royal Challengers Bangalore,Wankhede Stadium,65,42,6,5,154.76,c Q de Kock b CJ Anderson,2
21,2018-04-22,Rajasthan Royals,Sawai Mansingh Stadium,0,1,0,0,0.0,b DS Kulkarni,2
23,2018-04-24,Sunrisers Hyderabad,Wankhede Stadium,5,9,1,0,55.56,c MK Pandey b Sandeep Sharma,2
27,2018-04-28,Chennai Super Kings,Maharashtra Cricket Association Stadium,47,43,3,2,109.3,c SN Thakur b DJ Bravo,2
34,2018-05-04,Kings XI Punjab,Holkar Cricket Stadium,10,13,0,0,76.92,c KL Rahul b Mujeeb Ur Rahman,2
37,2018-05-06,Kolkata Knight Riders,Wankhede Stadium,43,28,5,2,153.57,c CA Lynn b AD Russell,2
41,2018-05-09,Kolkata Knight Riders,Eden Gardens,18,13,3,0,138.46,c CA Lynn b PP Chawla,2
47,2018-05-13,Rajasthan Royals,Wankhede Stadium,60,42,4,4,142.86,c SV Samson b DS Kulkarni,2
50,2018-05-16,Kings XI Punjab,Wankhede Stadium,9,7,0,1,128.57,b AJ Tye,2
55,2018-05-20,Delhi Daredevils,Arun Jaitley Stadium,48,31,3,4,154.84,st RR Pant b A Mishra,2
