innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,5,4,Sunrisers Hyderabad,MR Marsh,T Natarajan,J Madanagopal,wicket,upheld,False
1,6,5,Sunrisers Hyderabad,SN Khan,M Jansen,RJ Tucker,wicket,struck down,False
2,2,2,Delhi Capitals,HC Brook,A Nortje,RJ Tucker,wicket,struck down,False
