match_number,date,opponent,venue,result,margin
1,2016-04-09,Mumbai Indians,Wankhede Stadium,won,by 9 wickets
6,2016-04-14,Gujarat Lions,Saurashtra Cricket Association Stadium,lost,by 7 wickets
10,2016-04-17,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 6 wickets
16,2016-04-22,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,lost,by 13 runs
20,2016-04-24,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,lost,by 2 wickets
22,2016-04-26,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 34 runs
25,2016-04-29,Gujarat Lions,Maharashtra Cricket Association Stadium,lost,by 3 wickets
29,2016-05-01,Mumbai Indians,Maharashtra Cricket Association Stadium,lost,by 8 wickets
33,2016-05-05,Delhi Daredevils,Feroz Shah Kotla,won,by 7 wickets
35,2016-05-07,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 7 wickets
40,2016-05-10,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 4 runs
45,2016-05-14,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
49,2016-05-17,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 19 runs
53,2016-05-21,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 4 wickets
