match_number,date,opponent,venue,result,margin
3,2008-04-19,Rajasthan Royals,Feroz Shah Kotla,won,by 9 wickets
7,2008-04-22,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 9 wickets
13,2008-04-27,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 4 wickets
17,2008-04-30,Royal Challengers Bangalore,Feroz Shah Kotla,won,by 10 runs
20,2008-05-02,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 8 wickets
23,2008-05-04,Mumbai Indians,Dr DY Patil Sports Academy,lost,by 29 runs
28,2008-05-08,Chennai Super Kings,Feroz Shah Kotla,lost,by 4 wickets
33,2008-05-11,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 3 wickets
35,2008-05-13,Kolkata Knight Riders,Eden Gardens,lost,by 23 runs
37,2008-05-15,Deccan Chargers,Feroz Shah Kotla,won,by 12 runs
40,2008-05-17,Kings XI Punjab,Feroz Shah Kotla,lost,by 6 runs
43,2008-05-19,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 5 wickets
50,2008-05-24,Mumbai Indians,Feroz Shah Kotla,won,by 5 wickets
57,2008-05-30,Rajasthan Royals,Wankhede Stadium,lost,by 105 runs
