team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Sunrisers Hyderabad,1,MK Pandey,JJ Bumrah,Mohammad Nabi,1,0,1,,True,run out,MK Pandey
Sunrisers Hyderabad,2,MJ Guptill,JJ Bumrah,Mohammad Nabi,1,0,1,,False,,
Sunrisers Hyderabad,3,Mohammad Nabi,JJ Bumrah,MJ Guptill,6,0,6,,False,,
Sunrisers Hyderabad,4,Mohammad Nabi,JJ Bumrah,MJ Guptill,0,0,0,,True,bowled,Mohammad Nabi
Mumbai Indians,1,HH Pandya,Rashid Khan,KA Pollard,6,0,6,,False,,
Mumbai Indians,2,HH Pandya,Rashid Khan,KA Pollard,1,0,1,,False,,
Mumbai Indians,3,KA Pollard,Rashid Khan,HH Pandya,2,0,2,,False,,
