innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,AM Rahane,1,3,0,0,33.33,c KL Rahul b MJ Henry,1
1,Chennai Super Kings,RD Gaikwad,108,60,12,3,180.0,not out,2
1,Chennai Super Kings,DJ Mitchell,11,10,1,0,110.0,c DJ Hooda b Yash Thakur,3
1,Chennai Super Kings,RA Jadeja,16,19,2,0,84.21,c KL Rahul b Mohsin Khan,4
1,Chennai Super Kings,S Dube,66,27,3,7,244.44,"run out (Q de Kock, MP Stoinis)",5
1,Chennai Super Kings,MS Dhoni,4,1,1,0,400.0,not out,6
2,Lucknow Super Giants,Q de Kock,0,3,0,0,0.0,b DL Chahar,1
2,Lucknow Super Giants,KL Rahul,16,14,1,1,114.29,c RD Gaikwad b Mustafizur Rahman,2
2,Lucknow Super Giants,MP Stoinis,124,63,13,6,196.83,not out,3
2,Lucknow Super Giants,D Padikkal,13,19,0,0,68.42,b M Pathirana,4
2,Lucknow Super Giants,N Pooran,34,15,3,2,226.67,c SN Thakur b M Pathirana,5
2,Lucknow Super Giants,DJ Hooda,17,6,2,1,283.33,not out,6
