innings,team,wicket_number,player_out,score,over
1,Gujarat Titans,1,B Sai Sudharsan,118,11.5
1,Gujarat Titans,2,JC Buttler,150,14.2
1,Gujarat Titans,3,Shubman Gill,185,17.2
1,Gujarat Titans,4,JO Holder,205,19.1
2,Rajasthan Royals,1,V Suryavanshi,38,3.5
2,Rajasthan Royals,2,YBK Jaiswal,40,4.3
2,Rajasthan Royals,3,SO Hetmyer,68,6.4
2,Rajasthan Royals,4,Dhruv Jurel,87,8.3
2,Rajasthan Royals,5,D Ferreira,91,8.5
2,Rajasthan Royals,6,SB Dubey,115,12.4
2,Rajasthan Royals,7,RA Jadeja,136,14.5
2,Rajasthan Royals,8,JC Archer,141,15.5
2,Rajasthan Royals,9,MD Shanaka,151,17.1
2,Rajasthan Royals,10,TU Deshpande,152,17.3
