innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Gujarat Titans,1,B Sai Sudharsan,55,36,Shubman Gill,50,30,13,118,65
1,Gujarat Titans,2,JC Buttler,13,10,Shubman Gill,17,5,2,32,15
1,Gujarat Titans,3,Washington Sundar,17,9,Shubman Gill,17,9,1,35,18
1,Gujarat Titans,4,JO Holder,7,7,Washington Sundar,11,4,2,20,11
1,Gujarat Titans,5,R Tewatia,14,4,Washington Sundar,9,7,1,24,11
2,Rajasthan Royals,1,YBK Jaiswal,1,1,V Suryavanshi,36,16,1,38,17
2,Rajasthan Royals,2,Dhruv Jurel,0,1,YBK Jaiswal,2,3,0,2,4
2,Rajasthan Royals,3,SO Hetmyer,6,7,Dhruv Jurel,22,6,0,28,13
2,Rajasthan Royals,4,RA Jadeja,17,8,Dhruv Jurel,2,3,0,19,11
2,Rajasthan Royals,5,D Ferreira,4,2,RA Jadeja,0,0,0,4,2
2,Rajasthan Royals,6,SB Dubey,15,14,RA Jadeja,9,9,0,24,23
2,Rajasthan Royals,7,MD Shanaka,8,5,RA Jadeja,12,8,1,21,13
2,Rajasthan Royals,8,JC Archer,5,6,MD Shanaka,0,0,0,5,6
2,Rajasthan Royals,9,TU Deshpande,1,2,MD Shanaka,8,6,1,10,8
2,Rajasthan Royals,10,Brijesh Sharma,1,1,TU Deshpande,0,1,0,1,2
