match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
14,2016-04-20,Mumbai Indians,Wankhede Stadium,23,14,2,2,164.29,c Harbhajan Singh b MJ McClenaghan,2
16,2016-04-22,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,7,10,1,0,70.0,c I Sharma b NLTC Perera,2
19,2016-04-24,Gujarat Lions,Saurashtra Cricket Association Stadium,51,35,4,3,145.71,not out,4
27,2016-04-30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",51,28,6,1,182.14,c NV Ojha b MC Henriques,2
30,2016-05-02,Kolkata Knight Riders,M Chinnaswamy Stadium,52,32,6,2,162.5,c YK Pathan b PP Chawla,1
35,2016-05-07,Rising Pune Supergiants,M Chinnaswamy Stadium,38,35,1,2,108.57,c GJ Bailey b A Zampa,2
39,2016-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",42,25,6,1,168.0,b KC Cariappa,2
41,2016-05-11,Mumbai Indians,M Chinnaswamy Stadium,68,53,3,4,128.3,not out,4
50,2016-05-18,Kings XI Punjab,M Chinnaswamy Stadium,16,6,3,0,266.67,not out,4
56,2016-05-22,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,38,23,4,1,165.22,b CR Brathwaite,4
57,2016-05-24,Gujarat Lions,M Chinnaswamy Stadium,0,1,0,0,0.0,c DR Smith b DS Kulkarni,4
60,2016-05-29,Sunrisers Hyderabad,M Chinnaswamy Stadium,11,9,1,0,122.22,b BCJ Cutting,4
