innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Delhi Daredevils,death,42,3,30,8.4,6,11
1,Delhi Daredevils,middle,59,1,54,6.56,4,14
1,Delhi Daredevils,powerplay,42,3,36,7.0,7,19
2,Rajasthan Royals,death,80,0,39,12.31,10,8
2,Rajasthan Royals,middle,35,3,39,5.38,2,14
2,Rajasthan Royals,powerplay,32,2,34,5.65,6,25
