match_number,date,opponent,venue,result,margin
3,2022-03-27,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",lost,by 5 wickets
6,2022-03-30,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",won,by 3 wickets
13,2022-04-05,Rajasthan Royals,"Wankhede Stadium, Mumbai",won,by 4 wickets
18,2022-04-09,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",won,by 7 wickets
22,2022-04-12,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",lost,by 23 runs
27,2022-04-16,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 16 runs
31,2022-04-19,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",won,by 18 runs
36,2022-04-23,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",lost,by 9 wickets
39,2022-04-26,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",lost,by 29 runs
43,2022-04-30,Gujarat Titans,"Brabourne Stadium, Mumbai",lost,by 6 wickets
49,2022-05-04,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",won,by 13 runs
54,2022-05-08,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",won,by 67 runs
60,2022-05-13,Punjab Kings,"Brabourne Stadium, Mumbai",lost,by 54 runs
67,2022-05-19,Gujarat Titans,"Wankhede Stadium, Mumbai",won,by 8 wickets
72,2022-05-25,Lucknow Super Giants,"Eden Gardens, Kolkata",won,by 14 runs
73,2022-05-27,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",lost,by 7 wickets
