innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Punjab Kings,1,Priyansh Arya,51,28,P Simran Singh,18,15,9,78,41
1,Punjab Kings,2,SS Iyer,10,8,Priyansh Arya,5,5,4,19,13
1,Punjab Kings,3,SS Iyer,41,25,C Connolly,38,27,4,83,52
1,Punjab Kings,4,MP Stoinis,1,2,SS Iyer,6,1,0,7,3
1,Punjab Kings,5,Shashank Singh,0,1,SS Iyer,0,0,0,0,1
1,Punjab Kings,6,Suryansh Shedge,21,8,SS Iyer,2,2,0,23,10
2,Delhi Capitals,1,KL Rahul,5,5,Abishek Porel,5,6,0,10,11
2,Delhi Capitals,2,SU Parakh,0,1,KL Rahul,4,3,0,4,4
2,Delhi Capitals,3,T Stubbs,6,7,SU Parakh,13,5,0,19,12
2,Delhi Capitals,4,AR Patel,25,13,T Stubbs,6,10,10,41,23
2,Delhi Capitals,5,AR Patel,31,17,DA Miller,26,17,7,64,34
2,Delhi Capitals,6,DA Miller,25,11,Ashutosh Sharma,7,4,0,32,15
2,Delhi Capitals,7,M Tiwari,18,8,Ashutosh Sharma,17,6,0,35,14
2,Delhi Capitals,8,Auqib Nabi,10,2,M Tiwari,0,0,1,11,1
