match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2021-04-11,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,24,2,6.0,10,1,0
6,2021-04-14,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,18,2,4.5,9,1,0
9,2021-04-17,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,22,0,5.5,10,1,0
14,2021-04-21,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,17,1,4.25,9,0,0
20,2021-04-25,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,31,1,7.75,7,0,0
23,2021-04-28,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",4.0,0,36,3,9.0,7,1,0
28,2021-05-02,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",4.0,0,24,1,6.0,8,0,0
33,2021-09-22,Delhi Capitals,Dubai International Cricket Stadium,4.0,0,26,1,6.5,9,1,0
37,2021-09-25,Punjab Kings,Sharjah Cricket Stadium,4.0,0,17,1,4.25,10,0,0
40,2021-09-27,Rajasthan Royals,Dubai International Cricket Stadium,4.0,0,31,1,7.75,6,1,0
44,2021-09-30,Chennai Super Kings,Sharjah Cricket Stadium,4.0,0,27,1,6.75,12,1,0
49,2021-10-03,Kolkata Knight Riders,Dubai International Cricket Stadium,4.0,0,23,1,5.75,13,0,0
52,2021-10-06,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",4.0,0,39,1,9.75,7,0,0
55,2021-10-08,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",4.0,0,40,2,10.0,4,0,0
