match_number,date,opponent,venue,result,margin
4,2012-04-06,Kings XI Punjab,Sawai Mansingh Stadium,won,by 31 runs
7,2012-04-08,Kolkata Knight Riders,Sawai Mansingh Stadium,won,by 22 runs
12,2012-04-11,Mumbai Indians,Wankhede Stadium,lost,by 27 runs
15,2012-04-13,Kolkata Knight Riders,Eden Gardens,lost,by 5 wickets
18,2012-04-15,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 59 runs
20,2012-04-17,Deccan Chargers,Sawai Mansingh Stadium,won,by 5 wickets
26,2012-04-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 7 wickets
30,2012-04-23,Royal Challengers Bangalore,Sawai Mansingh Stadium,lost,by 46 runs
39,2012-04-29,Delhi Daredevils,Feroz Shah Kotla,lost,by 1 runs
43,2012-05-01,Delhi Daredevils,Sawai Mansingh Stadium,lost,by 6 wickets
48,2012-05-05,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 43 runs
52,2012-05-08,Pune Warriors,Subrata Roy Sahara Stadium,won,by 7 wickets
56,2012-05-10,Chennai Super Kings,Sawai Mansingh Stadium,lost,by 4 wickets
60,2012-05-13,Pune Warriors,Sawai Mansingh Stadium,won,by 45 runs
68,2012-05-18,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 wickets
72,2012-05-20,Mumbai Indians,Sawai Mansingh Stadium,lost,by 10 wickets
