innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,BB McCullum,23,4.2
1,Chennai Super Kings,2,DR Smith,77,11.6
1,Chennai Super Kings,3,SK Raina,108,15.4
1,Chennai Super Kings,4,F du Plessis,141,18.2
1,Chennai Super Kings,5,MS Dhoni,156,19.4
1,Chennai Super Kings,6,RA Jadeja,162,19.6
1,Chennai Super Kings,7,R Ashwin,173,20.5
2,Delhi Daredevils,1,MA Agarwal,8,3.1
2,Delhi Daredevils,2,M Vijay,15,4.3
2,Delhi Daredevils,3,MK Tiwary,17,5.2
2,Delhi Daredevils,4,JP Duminy,42,9.1
2,Delhi Daredevils,5,LRPL Taylor,50,10.2
2,Delhi Daredevils,6,KD Karthik,74,13.1
2,Delhi Daredevils,7,JDS Neesham,80,14.5
2,Delhi Daredevils,8,Mohammed Shami,82,15.2
2,Delhi Daredevils,9,S Nadeem,84,16.4
