innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,27,17,V Suryavanshi,4,5,2,33,22
1,Rajasthan Royals,2,Dhruv Jurel,0,2,V Suryavanshi,0,1,0,0,3
1,Rajasthan Royals,3,R Parag,14,8,Dhruv Jurel,7,3,0,21,11
1,Rajasthan Royals,4,Dhruv Jurel,13,12,MD Shanaka,29,15,3,45,27
1,Rajasthan Royals,5,Dhruv Jurel,18,9,D Ferreira,2,5,0,20,14
1,Rajasthan Royals,6,JC Archer,4,6,D Ferreira,16,10,0,20,16
1,Rajasthan Royals,7,SB Dubey,5,6,JC Archer,28,8,2,35,13
1,Rajasthan Royals,8,RA Jadeja,1,1,JC Archer,0,1,0,1,2
1,Rajasthan Royals,9,RA Jadeja,18,10,N Burger,10,3,2,30,12
2,Mumbai Indians,1,RG Sharma,0,4,RD Rickelton,0,0,0,0,4
2,Mumbai Indians,2,Naman Dhir,6,5,RD Rickelton,12,6,0,18,11
2,Mumbai Indians,3,SA Yadav,6,4,RD Rickelton,0,1,0,6,5
2,Mumbai Indians,4,Tilak Varma,3,7,SA Yadav,11,4,0,14,11
2,Mumbai Indians,5,WG Jacks,33,18,SA Yadav,29,21,1,63,38
2,Mumbai Indians,6,HH Pandya,34,15,SA Yadav,12,10,2,48,25
2,Mumbai Indians,7,C Bosch,2,4,SA Yadav,1,1,0,3,5
2,Mumbai Indians,8,SN Thakur,3,4,SA Yadav,1,2,2,6,6
2,Mumbai Indians,9,DL Chahar,8,5,SN Thakur,1,1,0,9,6
2,Mumbai Indians,10,AM Ghazanfar,2,3,SN Thakur,6,6,0,8,9
