team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Royal Challengers Bangalore,1,CH Gayle,UT Yadav,AB de Villiers,1,0,1,,False,,
Royal Challengers Bangalore,2,AB de Villiers,UT Yadav,CH Gayle,1,0,1,,False,,
Royal Challengers Bangalore,3,CH Gayle,UT Yadav,AB de Villiers,1,0,1,,False,,
Royal Challengers Bangalore,4,AB de Villiers,UT Yadav,CH Gayle,0,0,0,,False,,
Royal Challengers Bangalore,5,AB de Villiers,UT Yadav,CH Gayle,6,0,6,,False,,
Royal Challengers Bangalore,6,AB de Villiers,UT Yadav,CH Gayle,6,0,6,,False,,
Delhi Daredevils,1,DA Warner,R Rampaul,BJ Rohrer,0,0,0,,True,caught,DA Warner
Delhi Daredevils,2,IK Pathan,R Rampaul,BJ Rohrer,4,0,4,,False,,
Delhi Daredevils,3,IK Pathan,R Rampaul,BJ Rohrer,0,0,0,,False,,
Delhi Daredevils,4,IK Pathan,R Rampaul,BJ Rohrer,6,0,6,,False,,
Delhi Daredevils,5,IK Pathan,R Rampaul,BJ Rohrer,1,0,1,,False,,
Delhi Daredevils,6,BJ Rohrer,R Rampaul,IK Pathan,0,0,0,,True,bowled,BJ Rohrer
