match_number,date,opponent,venue,result,margin
3,2009-04-19,Kings XI Punjab,Newlands,won,by 10 wickets
9,2009-04-23,Chennai Super Kings,Kingsmead,won,by 9 runs
14,2009-04-26,Royal Challengers Bangalore,St George's Park,won,by 6 wickets
18,2009-04-28,Rajasthan Royals,SuperSport Park,lost,by 5 wickets
21,2009-04-30,Deccan Chargers,SuperSport Park,won,by 6 wickets
26,2009-05-02,Chennai Super Kings,New Wanderers Stadium,lost,by 18 runs
31,2009-05-05,Kolkata Knight Riders,Kingsmead,won,by 9 wickets
35,2009-05-08,Mumbai Indians,Buffalo Park,won,by 7 wickets
39,2009-05-10,Kolkata Knight Riders,New Wanderers Stadium,won,by 7 wickets
43,2009-05-13,Deccan Chargers,Kingsmead,won,by 12 runs
46,2009-05-15,Kings XI Punjab,OUTsurance Oval,lost,by 6 wickets
50,2009-05-17,Rajasthan Royals,OUTsurance Oval,won,by 14 runs
52,2009-05-19,Royal Challengers Bangalore,New Wanderers Stadium,lost,by 7 wickets
55,2009-05-21,Mumbai Indians,SuperSport Park,won,by 4 wickets
57,2009-05-22,Deccan Chargers,SuperSport Park,lost,by 6 wickets
