innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,SE Marsh,55,7.5
1,Kings XI Punjab,2,N Saini,58,8.4
1,Kings XI Punjab,3,DJ Hussey,97,12.6
1,Kings XI Punjab,4,Mandeep Singh,130,16.3
1,Kings XI Punjab,5,Azhar Mahmood,138,17.6
2,Deccan Chargers,1,S Dhawan,10,2.5
2,Deccan Chargers,2,PA Patel,31,5.6
2,Deccan Chargers,3,DJ Harris,70,11.1
2,Deccan Chargers,4,CL White,71,11.4
2,Deccan Chargers,5,KC Sangakkara,74,12.2
2,Deccan Chargers,6,PA Reddy,117,17.3
2,Deccan Chargers,7,AA Jhunjhunwala,121,18.2
2,Deccan Chargers,8,A Ashish Reddy,130,19.2
