match_number,date,opponent,venue,result,margin
3,2024-03-23,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 4 runs
8,2024-03-27,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 31 runs
12,2024-03-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 7 wickets
18,2024-04-05,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 6 wickets
23,2024-04-09,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 2 runs
30,2024-04-15,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",won,by 25 runs
35,2024-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 67 runs
41,2024-04-25,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 35 runs
46,2024-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 78 runs
50,2024-05-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 1 runs
55,2024-05-06,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 7 wickets
57,2024-05-08,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 10 wickets
69,2024-05-19,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 4 wickets
70,2024-05-21,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",lost,by 8 wickets
72,2024-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 36 runs
73,2024-05-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 8 wickets
