match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2016-04-10,Delhi Daredevils,Eden Gardens,38,41,5,0,92.68,not out,2
5,2016-04-13,Mumbai Indians,Eden Gardens,64,52,4,1,123.08,c PA Patel b HH Pandya,2
8,2016-04-16,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",90,60,13,1,150.0,not out,2
13,2016-04-19,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",34,34,3,0,100.0,c GJ Maxwell b P Sahu,2
20,2016-04-24,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,11,5,2,0,220.0,"run out (SS Tiwary, MS Dhoni)",2
24,2016-04-28,Mumbai Indians,Wankhede Stadium,59,45,6,1,131.11,c KA Pollard b MJ McClenaghan,2
26,2016-04-30,Delhi Daredevils,Feroz Shah Kotla,6,8,0,0,75.0,c SS Iyer b Z Khan,2
30,2016-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,37,29,4,1,127.59,lbw b S Aravind,2
32,2016-05-04,Kings XI Punjab,Eden Gardens,54,45,6,1,120.0,run out (),2
38,2016-05-08,Gujarat Lions,Eden Gardens,5,6,0,0,83.33,b P Kumar,2
45,2016-05-14,Rising Pune Supergiants,Eden Gardens,0,1,0,0,0.0,lbw b R Ashwin,2
48,2016-05-16,Royal Challengers Bangalore,Eden Gardens,51,34,7,0,150.0,"run out (SR Watson, Iqbal Abdulla)",2
51,2016-05-19,Gujarat Lions,Green Park,8,8,1,0,100.0,run out (SB Jakati),2
55,2016-05-22,Sunrisers Hyderabad,Eden Gardens,16,15,1,0,106.67,c MC Henriques b DJ Hooda,2
58,2016-05-25,Sunrisers Hyderabad,Feroz Shah Kotla,28,28,2,1,100.0,c V Shankar b BCJ Cutting,2
