innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,14,4,Kolkata Knight Riders,V Shankar,Suyash Sharma,Nitin Menon,wicket,struck down,False
2,17,1,Gujarat Titans,AD Russell,Rashid Khan,Tapan Sharma,wicket,upheld,False
2,17,3,Kolkata Knight Riders,SN Thakur,Rashid Khan,Tapan Sharma,wicket,struck down,False
