innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,J Fraser-McGurk,0,1.5
1,Delhi Capitals,2,Abishek Porel,54,7.5
1,Delhi Capitals,3,AR Patel,90,11.4
1,Delhi Capitals,4,Sameer Rizvi,146,17.1
1,Delhi Capitals,5,KL Rahul,179,20.2
1,Delhi Capitals,6,Ashutosh Sharma,180,20.3
2,Chennai Super Kings,1,R Ravindra,14,2.5
2,Chennai Super Kings,2,RD Gaikwad,20,3.3
2,Chennai Super Kings,3,DP Conway,41,6.3
2,Chennai Super Kings,4,S Dube,65,10.2
2,Chennai Super Kings,5,RA Jadeja,74,11.4
