match_number,date,opponent,catches,stumpings,run_outs
5,2014-04-19,Mumbai Indians,2,0,0
11,2014-04-24,Kolkata Knight Riders,1,0,0
14,2014-04-26,Rajasthan Royals,1,0,0
24,2014-05-04,Sunrisers Hyderabad,1,0,0
31,2014-05-09,Kings XI Punjab,1,0,0
42,2014-05-18,Chennai Super Kings,1,0,0
