match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
11,2020-09-29,Delhi Capitals,Sheikh Zayed Stadium,41,26,5,0,157.69,c AR Patel b K Rabada,4
14,2020-10-02,Chennai Super Kings,Dubai International Cricket Stadium,9,13,1,0,69.23,run out (),4
17,2020-10-04,Mumbai Indians,Sharjah Cricket Stadium,3,5,0,0,60.0,c Q de Kock b TA Boult,4
22,2020-10-08,Kings XI Punjab,Dubai International Cricket Stadium,20,10,1,1,200.0,not out,5
26,2020-10-11,Rajasthan Royals,Dubai International Cricket Stadium,22,12,0,2,183.33,not out,4
29,2020-10-13,Chennai Super Kings,Dubai International Cricket Stadium,57,39,7,0,146.15,c SN Thakur b KV Sharma,4
35,2020-10-18,Kolkata Knight Riders,Sheikh Zayed Stadium,29,19,4,1,152.63,c N Rana b LH Ferguson,2
47,2020-10-27,Delhi Capitals,Dubai International Cricket Stadium,11,10,1,0,110.0,not out,4
52,2020-10-31,Royal Challengers Bangalore,Sharjah Cricket Stadium,8,14,0,0,57.14,c V Kohli b I Udana,4
58,2020-11-06,Royal Challengers Bangalore,Sheikh Zayed Stadium,50,44,2,2,113.64,not out,4
59,2020-11-08,Delhi Capitals,Sheikh Zayed Stadium,67,45,5,4,148.89,c K Rabada b MP Stoinis,4
