innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,3,2,Kings XI Punjab,KL Rahul,B Kumar,AK Chaudhary,,upheld,False
2,1,2,Kings XI Punjab,WP Saha,BB Sran,NJ Llong,,struck down,True
2,10,1,Kings XI Punjab,KS Williamson,Mujeeb Ur Rahman,AK Chaudhary,,struck down,True
