match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2010-03-13,Mumbai Indians,Brabourne Stadium,12,12,2,0,100.0,c Z Khan b AG Murtaza,3
6,2010-03-15,Delhi Daredevils,"Sardar Patel Stadium, Motera",24,14,4,1,171.43,b A Mishra,3
10,2010-03-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,16,18,1,0,88.89,c RV Uthappa b JH Kallis,1
13,2010-03-20,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",27,18,5,0,150.0,"run out (AD Mathews, M Kartik)",2
19,2010-03-24,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",13,10,3,0,130.0,c SJ Srivastava b S Sreesanth,2
22,2010-03-26,Deccan Chargers,"Sardar Patel Stadium, Motera",14,17,1,1,82.35,st AC Gilchrist b PP Ojha,2
24,2010-03-28,Chennai Super Kings,"Sardar Patel Stadium, Motera",80,49,6,5,163.27,c Joginder Sharma b T Thushara,2
29,2010-03-31,Delhi Daredevils,Feroz Shah Kotla,27,14,4,1,192.86,c KD Karthik b A Mishra,2
32,2010-04-03,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",94,55,8,6,170.91,not out,2
36,2010-04-05,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",1,5,0,0,20.0,c RJ Harris b RP Singh,2
38,2010-04-07,Kings XI Punjab,Sawai Mansingh Stadium,44,37,4,1,118.92,not out,2
45,2010-04-11,Mumbai Indians,Sawai Mansingh Stadium,0,5,0,0,0.0,c SR Tendulkar b Z Khan,2
49,2010-04-14,Royal Challengers Bangalore,Sawai Mansingh Stadium,7,9,1,0,77.78,c MK Pandey b Pankaj Singh,2
53,2010-04-17,Kolkata Knight Riders,Eden Gardens,18,22,3,0,81.82,c LR Shukla b JD Unadkat,2
