innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,3,3,Rajasthan Royals,JC Buttler,C Green,Vinod Seshan,wicket,upheld,False
1,8,3,Rajasthan Royals,SV Samson,PP Chawla,VK Sharma,wicket,upheld,False
2,13,5,Mumbai Indians,Tilak Varma,KR Sen,VK Sharma,wicket,upheld,False
2,16,1,Rajasthan Royals,Tilak Varma,TA Boult,Vinod Seshan,wicket,struck down,False
